t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
modoc_north,laevissimus,new,herculeanus,0.0851441583705174,0.0808080808080808,0.090628507295174,0.0811772434237385,0.0780022446689113,0.0855780022446689,0.833678598205744,0.827160493827161,0.839506172839506,3564
modoc_north,laevissimus,new,novaeboracensis,0.092351186637611,0.0886644219977553,0.0962401795735129,0.0859567911958599,0.0833333333333333,0.0889450305681904,0.821692022166529,0.815375982042649,0.827441077441077,3564
modoc_north,laevissimus,new,hybrid,0.0542679428339991,0.0488215488215488,0.0572390572390572,0.0616391292314342,0.0552749719416386,0.0648148148148148,0.884092927934567,0.878787878787879,0.893659061071566,3564
modoc_north,laevissimus,new,modoc_south,0.0342617626202324,0.0311447811447811,0.0375981937154339,0.0438778223361886,0.0406846240179574,0.0493827160493827,0.921860415043579,0.914702581369248,0.926206769418285,3564
modoc_north,laevissimus,new,modoc_west,0.0574177826475352,0.0527497194163861,0.0614478114478114,0.0703522237794809,0.0659371307696042,0.0754769921436588,0.872229993572984,0.865319865319865,0.879068462401796,3564
modoc_north,laevissimus,new,chromaiodes,0.362438748581403,0.36026936026936,0.365039281705948,0.436258670057593,0.434062728938628,0.438271727910137,0.201302581361004,0.199214365881033,0.203703703703704,3564
modoc_north,laevissimus,new,pennsylvanicus,0.287639410040675,0.284511784511784,0.29040404040404,0.353278744698725,0.350448933782267,0.356341189674523,0.359081845260599,0.356060606060606,0.361952861952862,3564
modoc_north,laevissimus,herculeanus,novaeboracensis,0.796626525712631,0.766273849607183,0.845117845117845,0.132027976480145,0.102693631507753,0.14983164983165,0.0713454978072229,0.0502244668911336,0.0925925925925926,3564
modoc_north,laevissimus,herculeanus,hybrid,0.321213080647189,0.294893378226712,0.346240179573513,0.140149240453998,0.133557800224467,0.150673400673401,0.538637678898814,0.518237934904602,0.565937308063218,3564
modoc_north,laevissimus,herculeanus,modoc_south,0.120623127243025,0.11475866589263,0.128787878787879,0.0963574870497657,0.0892255892255892,0.104657687991021,0.78301938570721,0.771885521885522,0.793771266490254,3564
modoc_north,laevissimus,herculeanus,modoc_west,0.197995313869691,0.185746404530417,0.218294051627385,0.258086535027519,0.241863143059243,0.27020202020202,0.54391815110279,0.531705948372615,0.554994388327722,3564
modoc_north,laevissimus,herculeanus,chromaiodes,0.0858847695084517,0.0827721428809925,0.0895061728395062,0.850218997988556,0.846801346801347,0.853254769921437,0.0638962325029919,0.0614478286890653,0.0664983351566597,3564
modoc_north,laevissimus,herculeanus,new,0.0849210076141213,0.0819304152637486,0.0892255892255892,0.834130647010404,0.829124579124579,0.837542087542088,0.0809483453754746,0.0777216610549944,0.085016835016835,3564
modoc_north,laevissimus,herculeanus,pennsylvanicus,0.0955757500714373,0.0914702581369248,0.10016835016835,0.815555021297103,0.810886644219978,0.820707070707071,0.08886922863146,0.085016835016835,0.0928731762065095,3564
modoc_north,laevissimus,novaeboracensis,herculeanus,0.811208364778275,0.762065095398429,0.846240179573513,0.0644675077083593,0.0491021324354658,0.0892255892255892,0.124324127513366,0.101851851851852,0.156846240179574,3564
modoc_north,laevissimus,novaeboracensis,hybrid,0.321810569080084,0.291245791245791,0.351571268237935,0.117498065762549,0.107182910442505,0.127946127946128,0.560691365157367,0.532267115600449,0.592873342557055,3564
modoc_north,laevissimus,novaeboracensis,modoc_south,0.11132678721097,0.103535353535354,0.119248035914703,0.0905537354711235,0.0810886644219978,0.099326571457191,0.798119477317907,0.782828063179556,0.814534231200898,3564
modoc_north,laevissimus,novaeboracensis,modoc_west,0.194033325794421,0.180695898062822,0.219697031340357,0.242730067372112,0.227272727272727,0.256453351163482,0.563236606833467,0.542648861573755,0.578002082490998,3564
modoc_north,laevissimus,novaeboracensis,chromaiodes,0.0951705626718397,0.0914702324718764,0.0990459879220012,0.840081768847134,0.836980685471188,0.843434343434343,0.064747668481026,0.0631312954177061,0.0667789001122334,3564
modoc_north,laevissimus,novaeboracensis,new,0.0918142302015037,0.0878226711560045,0.0959595690349133,0.822367915327705,0.816498087402332,0.828843995510662,0.0858178544707908,0.0827721661054994,0.088103279490258,3564
modoc_north,laevissimus,novaeboracensis,pennsylvanicus,0.110951899769572,0.105499438832772,0.119248035914703,0.800544304113731,0.792368125701459,0.805555555555556,0.0885037961166965,0.0867003123736497,0.0900673400673401,3564
modoc_north,laevissimus,hybrid,herculeanus,0.320907765253558,0.294332210998878,0.346801346801347,0.539116837926795,0.516834871819621,0.565095398428732,0.139975396819647,0.132154882154882,0.149551066217733,3564
modoc_north,laevissimus,hybrid,novaeboracensis,0.318940283897355,0.291806958473625,0.350448933782267,0.565200459225799,0.535072951739618,0.593995510662177,0.115859256876846,0.105780022446689,0.126543209876543,3564
modoc_north,laevissimus,hybrid,modoc_south,0.224070158327267,0.208754208754209,0.246071829405163,0.182895049839665,0.167227833894501,0.200056116722783,0.593034791833068,0.562850571590749,0.619248035914703,3564
modoc_north,laevissimus,hybrid,modoc_west,0.259123584162778,0.247194094502218,0.269360269360269,0.45184357274889,0.432659932659933,0.473625007400391,0.289032843088332,0.267957351290685,0.307519640852974,3564
modoc_north,laevissimus,hybrid,chromaiodes,0.0483797310972054,0.042648709315376,0.0544332210998878,0.900926704880938,0.894219726649908,0.90712682379349,0.0506935640218562,0.0493827160493827,0.0519079685746352,3564
modoc_north,laevissimus,hybrid,new,0.0520910449628974,0.0476992277495027,0.0566778741083406,0.886878586565647,0.880190549890418,0.893097893686278,0.0610303684714551,0.0580808080808081,0.0636924624880857,3564
modoc_north,laevissimus,hybrid,pennsylvanicus,0.0571436943518526,0.0496632996632997,0.0648148148148148,0.871261643712332,0.862794612794613,0.87962962962963,0.071594661935815,0.0701458837974512,0.0732323232323232,3564
modoc_north,laevissimus,modoc_south,herculeanus,0.119994216387342,0.113355780022447,0.127946163845725,0.78289487742458,0.773569240619877,0.792648931719678,0.0971109061880788,0.0886644219977553,0.104657717356262,3564
modoc_north,laevissimus,modoc_south,modoc_west,0.19238784956095,0.180134730677534,0.208473625140292,0.692434183958552,0.679573703584092,0.706789925143119,0.115177966480498,0.105780022446689,0.125701459034792,3564
modoc_north,laevissimus,modoc_south,hybrid,0.220631501835968,0.207912457912458,0.251402918069585,0.596153405167648,0.56341189674523,0.615039281705948,0.183215092996384,0.17003367003367,0.203984287317621,3564
modoc_north,laevissimus,modoc_south,novaeboracensis,0.111387983470443,0.104377104377104,0.118406285072952,0.799808738081126,0.786756674174151,0.810886644219978,0.0888032784484315,0.0827721661054994,0.0993266271960233,3564
modoc_north,laevissimus,modoc_south,chromaiodes,0.0299029510242943,0.0274971941638608,0.0328282736172072,0.93346034892811,0.926206249661546,0.936307519640853,0.0366367000475955,0.0336700336700337,0.0420875302784707,3564
modoc_north,laevissimus,modoc_south,new,0.0339402702959163,0.031705948372615,0.0367564431098644,0.921956346828637,0.915263748597082,0.925645342312009,0.0441033828754467,0.0404040404040404,0.0485409652076319,3564
modoc_north,laevissimus,modoc_south,pennsylvanicus,0.0386073216533346,0.0353535254339154,0.0420875420875421,0.910585623871379,0.902918069584736,0.915544332210999,0.050807054475286,0.0471380471380471,0.0569584736251403,3564
modoc_north,laevissimus,modoc_west,modoc_south,0.192513200733425,0.181257014590348,0.208754267327236,0.11490209172271,0.104938271604938,0.126823829075148,0.692584707543865,0.677328843995511,0.708754208754209,3564
modoc_north,laevissimus,modoc_west,herculeanus,0.196762954907712,0.185465768799102,0.212962903209062,0.544546613032174,0.532267115600449,0.555274816140624,0.258690432060114,0.245791245791246,0.270763187429854,3564
modoc_north,laevissimus,modoc_west,hybrid,0.259121573638749,0.246632996632997,0.268799102132435,0.291421645978981,0.265151515151515,0.307800224466891,0.44945678038227,0.433501683501683,0.475028058361392,3564
modoc_north,laevissimus,modoc_west,novaeboracensis,0.20301345442842,0.185746404530417,0.22334455667789,0.560633074673003,0.543770891197842,0.581369248035915,0.236353470898577,0.227553310886644,0.24410767561513,3564
modoc_north,laevissimus,modoc_west,chromaiodes,0.0589008901291475,0.0561167227833895,0.0625701459034792,0.887436659799624,0.882996385242316,0.892255892255892,0.0536624500712284,0.0505050505050505,0.0566778900112233,3564
modoc_north,laevissimus,modoc_west,new,0.0559634280520184,0.0519079685746352,0.0594837261503928,0.874011792049233,0.866722540201308,0.880471380471381,0.0700247798987491,0.0670594837261504,0.0746352203604881,3564
modoc_north,laevissimus,modoc_west,pennsylvanicus,0.07888743468316,0.0751963874308677,0.0836139169472503,0.849163130846495,0.843153759820427,0.855218855218855,0.0719494344703449,0.0681817990511226,0.0763187429854097,3564
modoc_north,laevissimus,chromaiodes,modoc_west,0.059434971523541,0.0558361235027712,0.063973063973064,0.0535927726769434,0.0505050505050505,0.0575196408529742,0.886972255799516,0.881874051101557,0.893097643097643,3564
modoc_north,laevissimus,chromaiodes,modoc_south,0.0303722998691978,0.0274971941638608,0.0339506172839506,0.0360533242043424,0.0325476900820174,0.0398428731762065,0.93357437592646,0.929292668548634,0.939393939393939,3564
modoc_north,laevissimus,chromaiodes,new,0.362256810635978,0.359988776655443,0.365039384130018,0.202044229208137,0.200336756547911,0.203703646547798,0.435698960155884,0.433221221442542,0.437991021324355,3564
modoc_north,laevissimus,chromaiodes,pennsylvanicus,0.604517737578781,0.600729517396184,0.607744107744108,0.0741444088323706,0.0723905723905724,0.0765993480918485,0.321337853588848,0.319023569023569,0.32351290684624,3564
modoc_north,laevissimus,chromaiodes,herculeanus,0.0843002415469645,0.0819304152637486,0.0867003367003367,0.0640898036403246,0.0617283777417571,0.0659371492704826,0.851609954812711,0.848204264870932,0.854657927794031,3564
modoc_north,laevissimus,chromaiodes,novaeboracensis,0.0967522078517598,0.0937149270482604,0.100448933782267,0.0645012264190102,0.0631313131313131,0.0662177328843996,0.83874656572923,0.834736251402918,0.84287317620651,3564
modoc_north,laevissimus,chromaiodes,hybrid,0.049610121676301,0.0440516273849607,0.0524691358024691,0.0503826034236264,0.0448933782267116,0.0538720538720539,0.900007274900072,0.895342312008979,0.90993265993266,3564
modoc_north,laevissimus,pennsylvanicus,chromaiodes,0.604787738496072,0.602132435465769,0.607463524130191,0.321824214365881,0.320145903479237,0.32351290684624,0.0733880471380471,0.0718294051627385,0.0751964085297419,3564
modoc_north,laevissimus,pennsylvanicus,modoc_south,0.0389033462443386,0.0353535254339154,0.0437710437710438,0.050549101551501,0.0468574635241302,0.0549944037582502,0.91054755220416,0.906565656565657,0.916666666666667,3564
modoc_north,laevissimus,pennsylvanicus,herculeanus,0.0933860409602019,0.090628507295174,0.0965207631874299,0.088724636522473,0.085016835016835,0.0917508674946317,0.817889322517325,0.814534231200898,0.821549052062024,3564
modoc_north,laevissimus,pennsylvanicus,novaeboracensis,0.112266678999358,0.107463554282703,0.118967452300786,0.0887818698378337,0.0872615039281706,0.090628507295174,0.798951451162808,0.791806958473625,0.804152863118087,3564
modoc_north,laevissimus,pennsylvanicus,modoc_west,0.0795795000415542,0.0751964085297419,0.0844556677890011,0.072626594183925,0.0684624017957351,0.0774410774410774,0.847793905774521,0.840909090909091,0.852132674560234,3564
modoc_north,laevissimus,pennsylvanicus,new,0.287041707055583,0.283950617283951,0.289562370808746,0.360102393333445,0.357744208121271,0.362233445566779,0.352855899610972,0.350168448419879,0.355780022446689,3564
modoc_north,laevissimus,pennsylvanicus,hybrid,0.0586136731201047,0.0521885521885522,0.0617283950617284,0.070906378342501,0.0645342312008979,0.0763187429854097,0.870479948537394,0.864478114478115,0.882716049382716,3564
